"Actual","Predicted","nPredictions"
"neg","neg","3624"
"neg","neu","939"
"neg","pos","669"
"neu","neg","1556"
"neu","neu","3123"
"neu","pos","987"
"pos","neg","839"
"pos","neu","796"
"pos","pos","3913"
"neg","neg","3284"
"neg","neu","1187"
"neg","pos","864"
"neu","neg","1229"
"neu","neu","3124"
"neu","pos","1172"
"pos","neg","802"
"pos","neu","797"
"pos","pos","3987"
"neg","neg","3082"
"neg","neu","1737"
"neg","pos","538"
"neu","neg","913"
"neu","neu","3887"
"neu","pos","730"
"pos","neg","692"
"pos","neu","1359"
"pos","pos","3508"
"neg","neg","3661"
"neg","neu","785"
"neg","pos","841"
"neu","neg","1581"
"neu","neu","2667"
"neu","pos","1332"
"pos","neg","882"
"pos","neu","572"
"pos","pos","4125"
"neg","neg","3553"
"neg","neu","1138"
"neg","pos","651"
"neu","neg","1455"
"neu","neu","3088"
"neu","pos","989"
"pos","neg","785"
"pos","neu","852"
"pos","pos","3935"
"neg","neg","3661"
"neg","neu","844"
"neg","pos","840"
"neu","neg","1547"
"neu","neu","2677"
"neu","pos","1326"
"pos","neg","859"
"pos","neu","570"
"pos","pos","4122"
"neg","neg","3196"
"neg","neu","1129"
"neg","pos","973"
"neu","neg","1078"
"neu","neu","3018"
"neu","pos","1465"
"pos","neg","610"
"pos","neu","764"
"pos","pos","4213"
"neg","neg","3262"
"neg","neu","1394"
"neg","pos","632"
"neu","neg","1191"
"neu","neu","3508"
"neu","pos","887"
"pos","neg","722"
"pos","neu","1122"
"pos","pos","3728"
"neg","neg","3658"
"neg","neu","945"
"neg","pos","732"
"neu","neg","1514"
"neu","neu","2944"
"neu","pos","1080"
"pos","neg","911"
"pos","neu","755"
"pos","pos","3907"
"neg","neg","3815"
"neg","neu","736"
"neg","pos","701"
"neu","neg","1654"
"neu","neu","2770"
"neu","pos","1112"
"pos","neg","989"
"pos","neu","692"
"pos","pos","3977"
"neg","neg","3308"
"neg","neu","1044"
"neg","pos","1089"
"neu","neg","1093"
"neu","neu","2904"
"neu","pos","1477"
"pos","neg","627"
"pos","neu","586"
"pos","pos","4318"
"neg","neg","3662"
"neg","neu","1291"
"neg","pos","384"
"neu","neg","1393"
"neu","neu","3418"
"neu","pos","636"
"pos","neg","936"
"pos","neu","1347"
"pos","pos","3379"
"neg","neg","3882"
"neg","neu","795"
"neg","pos","706"
"neu","neg","1718"
"neu","neu","2694"
"neu","pos","1153"
"pos","neg","810"
"pos","neu","615"
"pos","pos","4073"
"neg","neg","3420"
"neg","neu","1142"
"neg","pos","807"
"neu","neg","1241"
"neu","neu","3109"
"neu","pos","1135"
"pos","neg","812"
"pos","neu","909"
"pos","pos","3871"
"neg","neg","3581"
"neg","neu","1031"
"neg","pos","788"
"neu","neg","1479"
"neu","neu","2987"
"neu","pos","1080"
"pos","neg","934"
"pos","neu","823"
"pos","pos","3743"
"neg","neg","3449"
"neg","neu","909"
"neg","pos","927"
"neu","neg","1382"
"neu","neu","2853"
"neu","pos","1352"
"pos","neg","743"
"pos","neu","572"
"pos","pos","4259"
"neg","neg","3187"
"neg","neu","1112"
"neg","pos","1000"
"neu","neg","1109"
"neu","neu","2945"
"neu","pos","1443"
"pos","neg","595"
"pos","neu","712"
"pos","pos","4343"
"neg","neg","4013"
"neg","neu","848"
"neg","pos","504"
"neu","neg","1877"
"neu","neu","2754"
"neu","pos","963"
"pos","neg","973"
"pos","neu","766"
"pos","pos","3748"
"neg","neg","3765"
"neg","neu","824"
"neg","pos","644"
"neu","neg","1657"
"neu","neu","2851"
"neu","pos","1039"
"pos","neg","1197"
"pos","neu","677"
"pos","pos","3792"
"neg","neg","3944"
"neg","neu","567"
"neg","pos","791"
"neu","neg","1828"
"neu","neu","2359"
"neu","pos","1398"
"pos","neg","863"
"pos","neu","470"
"pos","pos","4226"
"neg","neg","3936"
"neg","neu","976"
"neg","pos","502"
"neu","neg","1628"
"neu","neu","2895"
"neu","pos","1012"
"pos","neg","1040"
"pos","neu","863"
"pos","pos","3594"
"neg","neg","3665"
"neg","neu","1137"
"neg","pos","553"
"neu","neg","1477"
"neu","neu","3319"
"neu","pos","821"
"pos","neg","1095"
"pos","neu","1075"
"pos","pos","3304"
"neg","neg","3704"
"neg","neu","879"
"neg","pos","837"
"neu","neg","1472"
"neu","neu","2796"
"neu","pos","1214"
"pos","neg","857"
"pos","neu","641"
"pos","pos","4046"
"neg","neg","3015"
"neg","neu","1700"
"neg","pos","605"
"neu","neg","861"
"neu","neu","3840"
"neu","pos","862"
"pos","neg","528"
"pos","neu","1200"
"pos","pos","3835"
"neg","neg","3926"
"neg","neu","777"
"neg","pos","613"
"neu","neg","1917"
"neu","neu","2586"
"neu","pos","1046"
"pos","neg","1125"
"pos","neu","592"
"pos","pos","3864"
"neg","neg","3793"
"neg","neu","1051"
"neg","pos","569"
"neu","neg","1535"
"neu","neu","3213"
"neu","pos","745"
"pos","neg","996"
"pos","neu","951"
"pos","pos","3593"
