"Actual","Predicted","nPredictions"
"neg","neg","4415"
"neg","neu","481"
"neg","pos","423"
"neu","neg","1956"
"neu","neu","3043"
"neu","pos","598"
"pos","neg","723"
"pos","neu","431"
"pos","pos","4376"
"neg","neg","3747"
"neg","neu","1132"
"neg","pos","399"
"neu","neg","993"
"neu","neu","4040"
"neu","pos","613"
"pos","neg","538"
"pos","neu","723"
"pos","pos","4261"
"neg","neg","3915"
"neg","neu","979"
"neg","pos","493"
"neu","neg","1119"
"neu","neu","3662"
"neu","pos","738"
"pos","neg","489"
"pos","neu","522"
"pos","pos","4529"
"neg","neg","4508"
"neg","neu","570"
"neg","pos","195"
"neu","neg","1972"
"neu","neu","3177"
"neu","pos","410"
"pos","neg","969"
"pos","neu","608"
"pos","pos","4037"
"neg","neg","3571"
"neg","neu","1375"
"neg","pos","381"
"neu","neg","834"
"neu","neu","4203"
"neu","pos","484"
"pos","neg","410"
"pos","neu","852"
"pos","pos","4336"
"neg","neg","4167"
"neg","neu","903"
"neg","pos","323"
"neu","neg","1328"
"neu","neu","3749"
"neu","pos","473"
"pos","neg","658"
"pos","neu","724"
"pos","pos","4121"
"neg","neg","4427"
"neg","neu","607"
"neg","pos","337"
"neu","neg","1773"
"neu","neu","3333"
"neu","pos","442"
"pos","neg","880"
"pos","neu","790"
"pos","pos","3857"
"neg","neg","3708"
"neg","neu","1320"
"neg","pos","261"
"neu","neg","1109"
"neu","neu","4146"
"neu","pos","326"
"pos","neg","670"
"pos","neu","1158"
"pos","pos","3748"
"neg","neg","3780"
"neg","neu","1208"
"neg","pos","364"
"neu","neg","1008"
"neu","neu","4103"
"neu","pos","473"
"pos","neg","522"
"pos","neu","811"
"pos","pos","4177"
"neg","neg","3938"
"neg","neu","1055"
"neg","pos","239"
"neu","neg","1209"
"neu","neu","4113"
"neu","pos","334"
"pos","neg","697"
"pos","neu","1145"
"pos","pos","3716"
"neg","neg","4387"
"neg","neu","573"
"neg","pos","504"
"neu","neg","1575"
"neu","neu","2994"
"neu","pos","866"
"pos","neg","660"
"pos","neu","306"
"pos","pos","4581"
"neg","neg","4063"
"neg","neu","906"
"neg","pos","336"
"neu","neg","1330"
"neu","neu","3642"
"neu","pos","571"
"pos","neg","672"
"pos","neu","602"
"pos","pos","4324"
"neg","neg","3874"
"neg","neu","1015"
"neg","pos","464"
"neu","neg","1129"
"neu","neu","3692"
"neu","pos","604"
"pos","neg","547"
"pos","neu","636"
"pos","pos","4485"
"neg","neg","3944"
"neg","neu","1076"
"neg","pos","367"
"neu","neg","1199"
"neu","neu","3732"
"neu","pos","566"
"pos","neg","648"
"pos","neu","668"
"pos","pos","4246"
"neg","neg","4128"
"neg","neu","853"
"neg","pos","379"
"neu","neg","1321"
"neu","neu","3643"
"neu","pos","575"
"pos","neg","566"
"pos","neu","637"
"pos","pos","4344"
"neg","neg","4500"
"neg","neu","541"
"neg","pos","279"
"neu","neg","1916"
"neu","neu","3140"
"neu","pos","505"
"pos","neg","882"
"pos","neu","439"
"pos","pos","4244"
"neg","neg","3452"
"neg","neu","1439"
"neg","pos","398"
"neu","neg","868"
"neu","neu","4005"
"neu","pos","652"
"pos","neg","459"
"pos","neu","979"
"pos","pos","4194"
"neg","neg","4222"
"neg","neu","643"
"neg","pos","428"
"neu","neg","1566"
"neu","neu","3354"
"neu","pos","648"
"pos","neg","704"
"pos","neu","504"
"pos","pos","4377"
"neg","neg","3807"
"neg","neu","1063"
"neg","pos","500"
"neu","neg","1040"
"neu","neu","3761"
"neu","pos","744"
"pos","neg","470"
"pos","neu","558"
"pos","pos","4503"
"neg","neg","3525"
"neg","neu","1196"
"neg","pos","521"
"neu","neg","1032"
"neu","neu","3906"
"neu","pos","725"
"pos","neg","433"
"pos","neu","656"
"pos","pos","4452"
"neg","neg","3431"
"neg","neu","1147"
"neg","pos","772"
"neu","neg","808"
"neu","neu","3784"
"neu","pos","991"
"pos","neg","370"
"pos","neu","446"
"pos","pos","4697"
"neg","neg","3473"
"neg","neu","1485"
"neg","pos","527"
"neu","neg","818"
"neu","neu","3975"
"neu","pos","646"
"pos","neg","416"
"pos","neu","807"
"pos","pos","4299"
"neg","neg","3914"
"neg","neu","957"
"neg","pos","415"
"neu","neg","1190"
"neu","neu","3688"
"neu","pos","653"
"pos","neg","593"
"pos","neu","621"
"pos","pos","4415"
"neg","neg","3161"
"neg","neu","1602"
"neg","pos","567"
"neu","neg","704"
"neu","neu","4146"
"neu","pos","764"
"pos","neg","324"
"pos","neu","727"
"pos","pos","4451"
"neg","neg","3995"
"neg","neu","992"
"neg","pos","432"
"neu","neg","1231"
"neu","neu","3857"
"neu","pos","529"
"pos","neg","496"
"pos","neu","842"
"pos","pos","4072"
"neg","neg","4348"
"neg","neu","586"
"neg","pos","373"
"neu","neg","1744"
"neu","neu","3263"
"neu","pos","533"
"pos","neg","712"
"pos","neu","695"
"pos","pos","4192"
"neg","neg","3751"
"neg","neu","1014"
"neg","pos","633"
"neu","neg","1031"
"neu","neu","3564"
"neu","pos","914"
"pos","neg","444"
"pos","neu","473"
"pos","pos","4622"
"neg","neg","3988"
"neg","neu","1037"
"neg","pos","330"
"neu","neg","1177"
"neu","neu","3849"
"neu","pos","471"
"pos","neg","617"
"pos","neu","740"
"pos","pos","4237"
