"Actual","Predicted","nPredictions"
"neg","neg","3965"
"neg","neu","945"
"neg","pos","403"
"neu","neg","1173"
"neu","neu","3644"
"neu","pos","680"
"pos","neg","511"
"pos","neu","522"
"pos","pos","4603"
"neg","neg","3884"
"neg","neu","1025"
"neg","pos","386"
"neu","neg","1072"
"neu","neu","3833"
"neu","pos","605"
"pos","neg","483"
"pos","neu","612"
"pos","pos","4546"
"neg","neg","3906"
"neg","neu","1013"
"neg","pos","445"
"neu","neg","1061"
"neu","neu","3770"
"neu","pos","644"
"pos","neg","443"
"pos","neu","616"
"pos","pos","4548"
"neg","neg","3919"
"neg","neu","935"
"neg","pos","441"
"neu","neg","1096"
"neu","neu","3791"
"neu","pos","653"
"pos","neg","479"
"pos","neu","569"
"pos","pos","4563"
"neg","neg","3951"
"neg","neu","962"
"neg","pos","407"
"neu","neg","1172"
"neu","neu","3664"
"neu","pos","679"
"pos","neg","557"
"pos","neu","567"
"pos","pos","4487"
"neg","neg","3829"
"neg","neu","1015"
"neg","pos","412"
"neu","neg","1041"
"neu","neu","3932"
"neu","pos","566"
"pos","neg","483"
"pos","neu","653"
"pos","pos","4515"
"neg","neg","3978"
"neg","neu","934"
"neg","pos","391"
"neu","neg","1224"
"neu","neu","3757"
"neu","pos","565"
"pos","neg","534"
"pos","neu","619"
"pos","pos","4444"
"neg","neg","4074"
"neg","neu","869"
"neg","pos","385"
"neu","neg","1253"
"neu","neu","3750"
"neu","pos","515"
"pos","neg","544"
"pos","neu","553"
"pos","pos","4503"
"neg","neg","3916"
"neg","neu","1029"
"neg","pos","384"
"neu","neg","1088"
"neu","neu","3881"
"neu","pos","592"
"pos","neg","499"
"pos","neu","634"
"pos","pos","4423"
"neg","neg","3873"
"neg","neu","1071"
"neg","pos","401"
"neu","neg","1083"
"neu","neu","3840"
"neu","pos","637"
"pos","neg","470"
"pos","neu","641"
"pos","pos","4430"
"neg","neg","4023"
"neg","neu","965"
"neg","pos","394"
"neu","neg","1139"
"neu","neu","3749"
"neu","pos","602"
"pos","neg","508"
"pos","neu","522"
"pos","pos","4544"
"neg","neg","3995"
"neg","neu","1001"
"neg","pos","392"
"neu","neg","1180"
"neu","neu","3773"
"neu","pos","607"
"pos","neg","499"
"pos","neu","600"
"pos","pos","4399"
"neg","neg","3981"
"neg","neu","1041"
"neg","pos","361"
"neu","neg","1128"
"neu","neu","3780"
"neu","pos","573"
"pos","neg","536"
"pos","neu","601"
"pos","pos","4445"
"neg","neg","3910"
"neg","neu","1031"
"neg","pos","424"
"neu","neg","1115"
"neu","neu","3814"
"neu","pos","554"
"pos","neg","520"
"pos","neu","640"
"pos","pos","4438"
"neg","neg","3979"
"neg","neu","1011"
"neg","pos","358"
"neu","neg","1133"
"neu","neu","3802"
"neu","pos","563"
"pos","neg","528"
"pos","neu","606"
"pos","pos","4466"
"neg","neg","3973"
"neg","neu","973"
"neg","pos","351"
"neu","neg","1234"
"neu","neu","3831"
"neu","pos","540"
"pos","neg","526"
"pos","neu","638"
"pos","pos","4380"
"neg","neg","3975"
"neg","neu","992"
"neg","pos","371"
"neu","neg","1134"
"neu","neu","3863"
"neu","pos","554"
"pos","neg","503"
"pos","neu","676"
"pos","pos","4378"
"neg","neg","3916"
"neg","neu","997"
"neg","pos","398"
"neu","neg","1144"
"neu","neu","3769"
"neu","pos","623"
"pos","neg","527"
"pos","neu","589"
"pos","pos","4483"
"neg","neg","4019"
"neg","neu","1052"
"neg","pos","404"
"neu","neg","1113"
"neu","neu","3785"
"neu","pos","581"
"pos","neg","476"
"pos","neu","598"
"pos","pos","4418"
"neg","neg","3860"
"neg","neu","1020"
"neg","pos","388"
"neu","neg","1123"
"neu","neu","3947"
"neu","pos","604"
"pos","neg","503"
"pos","neu","638"
"pos","pos","4363"
"neg","neg","3994"
"neg","neu","983"
"neg","pos","378"
"neu","neg","1147"
"neu","neu","3815"
"neu","pos","587"
"pos","neg","479"
"pos","neu","603"
"pos","pos","4460"
"neg","neg","3851"
"neg","neu","1178"
"neg","pos","363"
"neu","neg","994"
"neu","neu","4025"
"neu","pos","524"
"pos","neg","465"
"pos","neu","766"
"pos","pos","4280"
"neg","neg","3907"
"neg","neu","1033"
"neg","pos","385"
"neu","neg","1111"
"neu","neu","4034"
"neu","pos","507"
"pos","neg","508"
"pos","neu","680"
"pos","pos","4281"
"neg","neg","3870"
"neg","neu","1052"
"neg","pos","430"
"neu","neg","1120"
"neu","neu","3738"
"neu","pos","630"
"pos","neg","468"
"pos","neu","606"
"pos","pos","4532"
"neg","neg","3887"
"neg","neu","1045"
"neg","pos","425"
"neu","neg","1060"
"neu","neu","3828"
"neu","pos","642"
"pos","neg","472"
"pos","neu","613"
"pos","pos","4474"
"neg","neg","3967"
"neg","neu","1035"
"neg","pos","436"
"neu","neg","1141"
"neu","neu","3778"
"neu","pos","592"
"pos","neg","503"
"pos","neu","612"
"pos","pos","4382"
