"Actual","Predicted","nPredictions"
"neg","neg","4030"
"neg","neu","917"
"neg","pos","422"
"neu","neg","1086"
"neu","neu","3795"
"neu","pos","669"
"pos","neg","418"
"pos","neu","477"
"pos","pos","4632"
"neg","neg","4135"
"neg","neu","910"
"neg","pos","264"
"neu","neg","1175"
"neu","neu","3928"
"neu","pos","419"
"pos","neg","527"
"pos","neu","624"
"pos","pos","4464"
"neg","neg","4104"
"neg","neu","862"
"neg","pos","359"
"neu","neg","1145"
"neu","neu","3838"
"neu","pos","587"
"pos","neg","512"
"pos","neu","477"
"pos","pos","4562"
"neg","neg","4023"
"neg","neu","888"
"neg","pos","407"
"neu","neg","1158"
"neu","neu","3803"
"neu","pos","628"
"pos","neg","460"
"pos","neu","566"
"pos","pos","4513"
"neg","neg","3944"
"neg","neu","901"
"neg","pos","458"
"neu","neg","1052"
"neu","neu","3894"
"neu","pos","607"
"pos","neg","406"
"pos","neu","493"
"pos","pos","4691"
"neg","neg","4055"
"neg","neu","928"
"neg","pos","349"
"neu","neg","1077"
"neu","neu","3910"
"neu","pos","532"
"pos","neg","459"
"pos","neu","575"
"pos","pos","4561"
"neg","neg","3969"
"neg","neu","1019"
"neg","pos","367"
"neu","neg","996"
"neu","neu","3983"
"neu","pos","489"
"pos","neg","504"
"pos","neu","625"
"pos","pos","4494"
"neg","neg","4144"
"neg","neu","777"
"neg","pos","346"
"neu","neg","1266"
"neu","neu","3724"
"neu","pos","610"
"pos","neg","460"
"pos","neu","481"
"pos","pos","4638"
"neg","neg","4045"
"neg","neu","961"
"neg","pos","388"
"neu","neg","1070"
"neu","neu","3853"
"neu","pos","593"
"pos","neg","439"
"pos","neu","491"
"pos","pos","4606"
"neg","neg","3976"
"neg","neu","1037"
"neg","pos","366"
"neu","neg","961"
"neu","neu","4027"
"neu","pos","525"
"pos","neg","472"
"pos","neu","557"
"pos","pos","4525"
"neg","neg","4062"
"neg","neu","903"
"neg","pos","387"
"neu","neg","1077"
"neu","neu","3766"
"neu","pos","666"
"pos","neg","458"
"pos","neu","460"
"pos","pos","4667"
"neg","neg","4194"
"neg","neu","819"
"neg","pos","341"
"neu","neg","1273"
"neu","neu","3805"
"neu","pos","567"
"pos","neg","503"
"pos","neu","512"
"pos","pos","4432"
"neg","neg","4194"
"neg","neu","813"
"neg","pos","394"
"neu","neg","1174"
"neu","neu","3707"
"neu","pos","631"
"pos","neg","445"
"pos","neu","411"
"pos","pos","4677"
"neg","neg","4033"
"neg","neu","999"
"neg","pos","396"
"neu","neg","1074"
"neu","neu","3944"
"neu","pos","522"
"pos","neg","425"
"pos","neu","530"
"pos","pos","4523"
"neg","neg","4164"
"neg","neu","785"
"neg","pos","385"
"neu","neg","1255"
"neu","neu","3724"
"neu","pos","554"
"pos","neg","484"
"pos","neu","490"
"pos","pos","4605"
"neg","neg","4041"
"neg","neu","973"
"neg","pos","370"
"neu","neg","1060"
"neu","neu","3947"
"neu","pos","581"
"pos","neg","446"
"pos","neu","532"
"pos","pos","4496"
"neg","neg","4038"
"neg","neu","880"
"neg","pos","376"
"neu","neg","1132"
"neu","neu","3791"
"neu","pos","608"
"pos","neg","500"
"pos","neu","495"
"pos","pos","4626"
"neg","neg","4070"
"neg","neu","809"
"neg","pos","408"
"neu","neg","1157"
"neu","neu","3626"
"neu","pos","715"
"pos","neg","474"
"pos","neu","397"
"pos","pos","4790"
"neg","neg","4066"
"neg","neu","864"
"neg","pos","376"
"neu","neg","1231"
"neu","neu","3723"
"neu","pos","647"
"pos","neg","484"
"pos","neu","456"
"pos","pos","4599"
"neg","neg","3998"
"neg","neu","1022"
"neg","pos","354"
"neu","neg","1077"
"neu","neu","3996"
"neu","pos","420"
"pos","neg","466"
"pos","neu","621"
"pos","pos","4492"
